x, y
0.836726, -3.3119
1.46869, -5.76692
1.5797, -6.19404
1.45253, -5.70463
1.65818, -6.49526
2.32025, -9.01181
2.95011, -11.3653
2.90244, -11.1885
3.22333, -12.3738
4.03879, -15.3396
4.26801, -16.1613
4.65098, -17.5223
5.40876, -20.1723
6.45807, -23.7469
6.67645, -24.477
6.76079, -24.7577
6.81131, -24.9255
7.25266, -26.3806
7.48852, -27.1502
7.73291, -27.9418
8.66755, -30.9139
8.03902, -28.9248
8.94282, -31.7726
9.32266, -32.945
9.67437, -34.0178
9.87324, -34.6189
10.2923, -35.8728
9.97852, -34.9355
10.2498, -35.7464
11.2893, -38.7848
11.817, -40.286
12.441, -42.025
13.036, -43.6472
13.2928, -44.3362
13.3307, -44.4373
13.9319, -46.0228
14.4213, -47.2866
14.1892, -46.69
14.3672, -47.1479
15.2145, -49.2838
16.0563, -51.3349
16.1526, -51.5651
15.9992, -51.1981
17.1688, -53.9368
17.2246, -54.0641
18.0625, -55.9372
17.794, -55.3447
18.8075, -57.5438
18.5288, -56.9495
18.8737, -57.684
19.45, -58.8849
20.4921, -60.9721
20.4466, -60.8832
21.1005, -62.1405
21.597, -63.0665
21.7265, -63.3039
22.7309, -65.0889
22.5701, -64.81
23.7094, -66.7308
23.3299, -66.1053
24.3646, -67.7767
24.7948, -68.44
25.0918, -68.8873
26.0238, -70.2333
26.2245, -70.5117
26.4862, -70.8689
27.0245, -71.5819
27.5508, -72.2508
27.6767, -72.4068
28.6188, -73.5234
29.4836, -74.4703
29.9447, -74.9445
29.9417, -74.9416
30.8538, -75.8173
31.4546, -76.3488
32.1146, -76.891
32.1692, -76.934
32.6456, -77.2957
33.2924, -77.7504
33.7112, -78.0226
34.33, -78.3926
35.0084, -78.7542
35.373, -78.9296
35.9287, -79.1712
36.3062, -79.3178
36.7741, -79.4797
37.0348, -79.5604
37.0835, -79.5747
36.7747, -79.4799
37.0964, -79.5785
36.6477, -79.4381
37.4488, -79.6746
38.7619, -79.9234
39.2522, -79.972
38.958, -79.9457
39.9104, -79.9996
40.4207, -79.9912
40.7341, -79.9731
40.3611, -79.9935
40.621, -79.9807
41.9107, -79.8175
42.1278, -79.7736
42.239, -79.7493
43.187, -79.4922
42.7662, -79.6174
43.242, -79.4745
44.0092, -79.1963
44.574, -78.9539
44.9548, -78.7725
45.6554, -78.4008
45.7756, -78.3321
46.7614, -77.7142
47.0327, -77.5271
47.7645, -76.9856
47.9177, -76.8655
48.9448, -75.9995
48.381, -76.488
49.2092, -75.7596
49.7825, -75.2152
50.0458, -74.9541
50.4673, -74.5217
51.0024, -73.9473
50.8487, -74.1153
51.2163, -73.7097
52.0834, -72.6996
52.5718, -72.0975
52.7443, -71.8792
52.7239, -71.9052
53.2559, -71.2141
54.0996, -70.0601
54.1649, -69.9678
55.1965, -68.4533
55.1172, -68.5735
55.625, -67.793
56.0978, -67.0431
56.5583, -66.2912
57.2914, -65.0504
57.1982, -65.2111
57.6148, -64.486
58.2446, -63.3567
58.8351, -62.2619
59.2233, -61.5233
59.9553, -60.0893
59.9046, -60.1903
60.0842, -59.8313
60.768, -58.4346
61.0521, -57.8405
61.1836, -57.5627
62.0763, -55.6318
61.9168, -55.9827
62.4753, -54.743
62.4575, -54.7831
62.6331, -54.3871
63.1698, -53.158
63.7671, -51.7564
64.1566, -50.8229
63.954, -51.3103
64.2829, -50.517
65.3602, -47.8429
65.1536, -48.3648
65.7005, -46.9741
65.6889, -47.0041
65.719, -46.9267
65.9134, -46.4249
66.569, -44.7043
67.592, -41.934
67.6688, -41.7218
67.3602, -42.5709
68.0498, -40.6603
68.6506, -38.9571
68.3863, -39.711
68.9915, -37.9748
69.7215, -35.8315
69.7674, -35.6952
70.915, -32.2132
70.9932, -31.971
70.9878, -31.9879
71.0417, -31.8206
71.0141, -31.9064
72.0696, -28.5771
71.4742, -30.4687
72.273, -27.9228
72.8848, -25.9293
73.5287, -23.7914
73.5174, -23.8291
74.5554, -20.2963
74.6055, -20.1228
75.553, -16.7992
75.8349, -15.793
76.8598, -12.0677
76.9665, -11.6738
77.8305, -8.44259
78.5332, -5.75959
