x, y
7.94946, -36.5876
8.84501, -40.3134
9.03193, -41.0809
8.99257, -40.9195
10.3607, -46.4362
11.5909, -51.237
11.6147, -51.3284
12.0548, -53.0081
13.2816, -57.5881
12.6247, -55.1542
13.8291, -59.5835
13.3079, -57.6846
13.7156, -59.172
14.4394, -61.7723
15.4234, -65.223
15.8269, -66.6099
16.9745, -70.4658
17.2602, -71.4053
18.1374, -74.2386
18.2845, -74.7064
18.7718, -76.24
19.2652, -77.7687
20.422, -81.257
21.2, -83.5281
21.2845, -83.7711
21.7843, -85.1936
22.1062, -86.0968
23.1316, -88.9043
23.4694, -89.8063
24.4047, -92.2442
24.5681, -92.6609
24.6932, -92.9782
25.5881, -95.2028
26.1494, -96.5575
26.6555, -97.7517
26.759, -97.9927
26.8706, -98.2516
27.6977, -100.13
28.2055, -101.25
29.0209, -102.994
29.0559, -103.067
30.1478, -105.294
30.5211, -106.029
30.7811, -106.532
31.2297, -107.384
31.4053, -107.712
32.3142, -109.361
33.2475, -110.968
32.5834, -109.833
33.1471, -110.799
33.5477, -111.466
34.2229, -112.554
34.8374, -113.505
34.9362, -113.654
34.9685, -113.703
36.218, -115.503
36.6902, -116.142
37.0991, -116.678
37.2926, -116.926
38.2126, -118.053
39.3889, -119.37
38.9999, -118.95
40.5752, -120.559
40.2166, -120.214
40.8912, -120.851
41.2376, -121.161
41.7952, -121.634
42.1308, -121.904
42.2037, -121.961
43.3049, -122.759
44.0446, -123.227
44.3389, -123.398
44.7516, -123.623
45.6497, -124.054
47.0098, -124.553
46.4209, -124.359
47.4451, -124.674
48.2937, -124.854
49.1467, -124.964
49.4708, -124.986
50.0249, -125
51.0227, -124.948
50.9457, -124.955
51.1471, -124.934
52.2273, -124.752
52.6487, -124.649
51.8345, -124.832
52.58, -124.667
53.1415, -124.507
53.1174, -124.514
54.4109, -124.027
54.8834, -123.808
54.7971, -123.849
55.7662, -123.338
55.815, -123.309
56.9132, -122.61
56.6173, -122.811
56.6924, -122.761
57.9855, -121.812
58.4503, -121.43
58.2068, -121.632
59.0781, -120.879
59.7071, -120.289
60.3209, -119.674
61.552, -118.328
61.7335, -118.116
62.8146, -116.789
63.7006, -115.615
64.6164, -114.318
64.2012, -114.916
65.7469, -112.602
66.2311, -111.828
66.9018, -110.716
67.423, -109.822
67.4706, -109.739
67.8429, -109.082
68.0482, -108.713
68.6518, -107.606
69.5413, -105.907
69.4942, -105.999
69.9853, -105.029
69.803, -105.392
70.2472, -104.502
70.5859, -103.811
71.6307, -101.606
72.1975, -100.363
72.6954, -99.2459
73.3074, -97.8383
73.1318, -98.246
74.3746, -95.294
74.4167, -95.1913
74.0548, -96.0683
74.9355, -93.9111
74.871, -94.0716
75.478, -92.5435
76.396, -90.1627
77.0751, -88.3469
77.4131, -87.4262
77.4025, -87.4552
77.6823, -86.6846
77.3146, -87.6955
77.73, -86.5525
77.7462, -86.5075
77.8034, -86.3485
78.0017, -85.7952
78.9561, -83.0772
78.9049, -83.2254
79.5738, -81.2695
79.7695, -80.6887
80.5433, -78.3553
81.0098, -76.9195
82.1264, -73.3946
82.0919, -73.5055
82.6574, -71.6746
82.3573, -72.6503
82.3362, -72.7183
82.5183, -72.1279
83.2641, -69.675
83.2111, -69.8513
83.6506, -68.3819
84.2968, -66.1864
84.2552, -66.3292
85.4877, -62.031
84.9167, -64.0413
86.4963, -58.4011
87.0994, -56.1817
87.9489, -52.994
87.5267, -54.5873
88.9502, -49.1443
89.6069, -46.5648
89.556, -46.7662
89.944, -45.2236
90.8111, -41.7227
90.0259, -44.8965
91.2768, -39.8113
91.129, -40.4202
92.7221, -33.7412
92.2717, -35.6551
92.9457, -32.7832
93.0668, -32.2627
93.556, -30.1437
95.0472, -23.5375
95.5032, -21.4731
95.3325, -22.2481
96.2514, -18.0402
96.2182, -18.1938
97.1072, -14.0455
97.0693, -14.2242
98.6512, -6.65293
