x, y
6.76061, 24.7571
7.43667, 26.9815
7.67081, 27.7412
8.34183, 29.888
8.77611, 31.2534
8.88867, 31.6043
9.31002, 32.9063
9.91238, 34.7368
10.5779, 36.7169
11.1078, 38.262
11.5645, 39.571
11.9511, 40.663
12.7169, 42.7816
12.7642, 42.9107
12.9719, 43.474
13.0528, 43.6923
13.1994, 44.0863
13.252, 44.2272
13.9467, 46.0612
14.4765, 47.4275
14.9167, 48.5415
15.3522, 49.6243
15.752, 50.6017
15.865, 50.875
16.172, 51.6114
16.4183, 52.1952
17.0661, 53.7018
17.1564, 53.9085
17.3788, 54.4141
17.5715, 54.8481
17.7987, 55.3551
17.8962, 55.5712
18.1981, 56.2338
18.6019, 57.106
19.1392, 58.2415
19.1579, 58.2804
19.2452, 58.4618
19.9974, 59.9948
20.7571, 61.4855
21.3593, 62.6261
21.8572, 63.542
22.2665, 64.2761
22.9777, 65.5121
23.0171, 65.579
23.134, 65.7768
23.211, 65.9066
23.5021, 66.3909
23.5594, 66.4853
23.9816, 67.1706
24.3876, 67.8127
24.8973, 68.5955
25.231, 69.0938
25.2624, 69.1402
25.7515, 69.849
26.1299, 70.381
26.9137, 71.4374
27.47, 72.1499
28.1117, 72.9334
28.6606, 73.5709
28.7793, 73.7048
29.4057, 74.388
29.9867, 74.9867
30.3833, 75.3759
30.4389, 75.4292
30.4716, 75.4605
30.8428, 75.8073
31.322, 76.2346
31.6816, 76.5402
32.2964, 77.0327
33.0338, 77.5736
33.4884, 77.8799
33.5962, 77.9496
34.1754, 78.3037
34.8186, 78.6576
34.963, 78.7314
35.585, 79.0254
36.0613, 79.2243
36.205, 79.2799
36.9359, 79.5306
37.5193, 79.6923
38.1231, 79.8239
38.7306, 79.9194
39.3308, 79.9776
40.0963, 79.9995
40.1913, 79.9982
40.3992, 79.992
41.0806, 79.9416
41.3515, 79.9087
41.5792, 79.8753
42.2701, 79.7423
42.5776, 79.6678
42.8207, 79.6022
43.4039, 79.4207
43.9686, 79.2125
44.1303, 79.147
44.4021, 79.0311
44.753, 78.8704
45.159, 78.6692
45.8642, 78.2805
46.3335, 77.9944
46.8632, 77.6448
47.5932, 77.1172
48.1723, 76.6606
48.6623, 76.2482
49.2659, 75.7071
49.5821, 75.4092
49.9588, 75.0411
50.7171, 74.2572
50.8695, 74.0927
51.5333, 73.3491
51.6735, 73.1865
52.4665, 72.2293
52.9481, 71.6174
53.6966, 70.6202
54.0686, 70.1038
54.1697, 69.961
54.6609, 69.253
55.1969, 68.4528
55.8115, 67.4998
56.4321, 66.4993
56.5283, 66.3408
56.7729, 65.9335
56.8956, 65.727
57.1547, 65.2858
57.9454, 63.8982
58.6817, 62.5497
58.8091, 62.311
59.0233, 61.9057
59.2421, 61.4871
59.5659, 60.8588
60.3634, 59.2666
61.1323, 57.6714
61.316, 57.2813
61.7926, 56.2542
62.3195, 55.092
63.1161, 53.2823
63.3775, 52.6747
63.5389, 52.2959
64.1656, 50.8013
64.267, 50.5555
64.778, 49.3026
65.1409, 48.3967
65.8828, 46.5041
66.1171, 45.895
66.6325, 44.5355
66.8655, 43.9122
66.9441, 43.7007
67.4191, 42.4097
68.0198, 40.7445
68.0624, 40.6252
68.0831, 40.567
68.2322, 40.1472
68.686, 38.8556
69.2025, 37.3606
69.5481, 36.3455
69.7651, 35.702
70.0971, 34.7083
70.6763, 32.9483
71.0142, 31.9059
71.1374, 31.5233
71.4435, 30.5653
72.0167, 28.7465
72.244, 28.0163
73.0344, 25.4365
73.6254, 23.4666
73.6599, 23.3506
74.0436, 22.0516
74.4407, 20.6921
74.9358, 18.9744
75.4012, 17.3376
75.5266, 16.8931
75.8887, 15.6001
76.1286, 14.7363
76.4998, 13.3883
76.5829, 13.0847
76.8712, 12.0258
77.5126, 9.64033
78.2697, 6.77162
78.9099, 4.30088
78.8387, -4.57778
77.923, -8.09248
77.489, -9.72887
76.9738, -11.6468
76.5404, -13.2399
76.6988, -12.6598
76.381, -13.8213
75.9854, -15.2526
75.892, -15.5881
75.4317, -17.2296
74.671, -19.8961
74.0611, -21.9919
74.4066, -20.8093
73.7944, -22.8971
73.4262, -24.1345
72.8781, -25.9517
72.6038, -26.8497
71.7938, -29.4576
71.8687, -29.2192
71.3347, -30.9069
70.9393, -32.138
70.4237, -33.7201
70.0932, -34.72
69.8809, -35.3567
69.2052, -37.3527
69.2427, -37.2431
68.7982, -38.5331
68.4853, -39.4293
68.3068, -39.9362
68.3817, -39.7239
67.4867, -42.2239
67.1605, -43.1153
67.3575, -42.5785
67.4097, -42.4353
66.4193, -45.1011
66.4817, -44.936
65.3762, -47.8023
65.0308, -48.673
64.8797, -49.0501
64.2216, -50.6656
64.1142, -50.9253
63.7072, -51.8984
63.3396, -52.7632
62.3214, -55.0878
62.2511, -55.2445
62.0546, -55.6798
61.7297, -56.3909
60.4708, -59.0473
59.746, -60.5048
59.9323, -60.1351
59.5528, -60.8844
59.5762, -60.8386
58.9893, -61.9703
58.2393, -63.3664
57.1685, -65.2621
57.5606, -64.5813
57.4665, -64.7461
57.1924, -65.2211
57.2253, -65.1644
56.2373, -66.8175
55.2477, -68.3754
55.4186, -68.1133
54.55, -69.4148
54.1025, -70.056
53.917, -70.3158
52.9653, -71.595
53.1216, -71.3912
52.1015, -72.6777
51.5496, -73.3303
51.4315, -73.466
51.2345, -73.6893
50.731, -74.2423
49.7028, -75.2928
50.043, -74.9569
48.7416, -76.1792
48.7391, -76.1814
48.2948, -76.5598
47.1087, -77.4733
46.4174, -77.9409
46.4542, -77.9172
45.4906, -78.4926
44.9248, -78.7873
44.6431, -78.9221
44.4464, -79.0115
44.2827, -79.0829
44.0183, -79.1927
42.9271, -79.5716
43.0337, -79.5398
42.5161, -79.6835
41.7821, -79.8412
41.5271, -79.8834
41.8213, -79.8341
40.942, -79.9556
40.2718, -79.9963
40.6696, -79.9776
39.6825, -79.995
39.3033, -79.9757
38.2556, -79.8479
38.1387, -79.8268
37.6146, -79.7155
36.8514, -79.5043
36.5636, -79.4096
36.2375, -79.2922
35.2572, -78.8753
35.017, -78.7585
34.7796, -78.6374
34.2912, -78.3705
33.9629, -78.1777
33.4689, -77.8673
32.76, -77.3791
31.8258, -76.6591
31.4384, -76.335
31.1248, -76.0615
31.0933, -76.0336
30.5727, -75.5563
31.0044, -75.9539
30.7466, -75.7187
29.6925, -74.6878
29.5424, -74.532
29.047, -74.0016
28.8563, -73.7909
27.8476, -72.616
27.2299, -71.8462
26.6138, -71.0404
26.5011, -70.889
25.8893, -70.0444
25.81, -69.9322
25.0367, -68.8049
25.0083, -68.7624
24.5493, -68.0638
24.2593, -67.6115
24.026, -67.2415
