x, y
0.836726, 3.3119
0.920398, 3.63924
0.952014, 3.76274
1.11324, 4.39099
1.66702, 6.52914
2.30643, 8.95975
2.89733, 11.1696
2.91044, 11.2182
3.53185, 13.5037
4.20868, 15.9491
4.4913, 16.9566
5.09538, 19.0834
5.81006, 21.5524
5.94688, 22.0193
6.10197, 22.5462
6.3653, 23.4353
6.78697, 24.8447
7.19459, 26.1903
7.26078, 26.4072
7.87985, 28.4148
7.92561, 28.5617
8.49919, 30.3849
8.84504, 31.4684
9.29867, 32.8714
9.39928, 33.1798
9.58799, 33.7555
9.73701, 34.2076
9.96114, 34.8834
10.6442, 36.9119
11.3761, 39.0336
11.8101, 40.2666
12.3309, 41.721
12.6473, 42.5915
12.6749, 42.667
13.366, 44.5316
13.8155, 45.7185
13.8627, 45.842
14.1812, 46.6695
14.7938, 48.2323
15.4544, 49.8756
15.5989, 50.2293
15.8241, 50.7764
16.459, 52.2911
16.7142, 52.8887
17.499, 54.6852
17.6505, 55.025
18.1649, 56.1614
18.4299, 56.7366
18.6811, 57.2752
19.3159, 58.6084
19.9624, 59.9247
20.0374, 60.0747
20.7753, 61.5205
20.8998, 61.7591
21.5274, 62.9381
22.2991, 64.3339
22.3985, 64.5093
22.9307, 65.432
23.0662, 65.6623
23.74, 66.7806
24.4092, 67.8463
24.6925, 68.284
25.3723, 69.3015
26.1067, 70.3488
26.1949, 70.4709
26.9479, 71.4821
27.3396, 71.9858
27.447, 72.1211
28.1431, 72.9708
28.9127, 73.8536
29.7098, 74.7056
29.7973, 74.7953
30.4401, 75.4304
31.12, 76.0573
31.4912, 76.38
32.0913, 76.8726
32.4752, 77.1689
32.7659, 77.3834
33.28, 77.7421
33.9984, 78.199
34.2632, 78.3544
34.6652, 78.577
35.4544, 78.9669
35.7669, 79.104
36.1501, 79.2589
36.4333, 79.3639
36.5341, 79.3994
36.5347, 79.3996
36.5368, 79.4003
36.6114, 79.4259
37.3247, 79.6421
37.9884, 79.7977
38.4987, 79.8873
38.9503, 79.9449
39.5739, 79.9909
40.0644, 79.9998
40.2557, 79.9967
40.2976, 79.9956
40.4268, 79.9909
41.1952, 79.9286
41.42, 79.8992
42.2056, 79.7568
42.4115, 79.7092
42.4757, 79.6935
42.6222, 79.6562
43.389, 79.4257
44.1077, 79.1563
44.5638, 78.9586
45.2395, 78.6274
45.6214, 78.42
46.2361, 78.0555
46.6054, 77.8185
47.2147, 77.3974
47.8268, 76.9371
48.1837, 76.6513
48.2998, 76.5557
48.8693, 76.0667
49.4884, 75.4985
49.9096, 75.09
50.1949, 74.8032
50.2253, 74.7722
50.6432, 74.3361
51.1482, 73.7859
51.7841, 73.0567
52.0347, 72.7583
52.2176, 72.5365
52.5059, 72.1801
52.9608, 71.6008
53.3984, 71.0242
53.9889, 70.2156
54.4878, 69.5051
54.6101, 69.3273
55.0352, 68.6971
55.4957, 67.9942
55.9485, 67.2822
56.4997, 66.3881
57.0812, 65.4117
57.3857, 64.8868
57.821, 64.1206
58.1664, 63.4991
58.8398, 62.2531
59.4553, 61.0745
59.6387, 60.716
59.8477, 60.3035
60.0483, 59.9033
60.7484, 58.4752
60.7537, 58.4642
61.3408, 57.2286
61.799, 56.2402
62.131, 55.5109
62.1358, 55.5003
62.4319, 54.8406
62.5836, 54.4991
62.9869, 53.5801
63.5636, 52.2377
63.696, 51.9249
63.8841, 51.4776
64.645, 49.6312
64.7909, 49.2705
65.0178, 48.7054
65.6334, 47.1463
65.6764, 47.036
65.7656, 46.8066
66.5002, 44.8869
66.8169, 44.0426
67.169, 43.0923
67.3074, 42.7152
67.3779, 42.5226
67.9383, 40.9724
68.3677, 39.7637
68.8894, 38.2702
69.365, 36.8847
69.4966, 36.4975
70.2047, 34.3837
70.4407, 33.6681
70.6583, 33.0033
70.7197, 32.8151
70.9169, 32.2074
71.2795, 31.0798
71.3737, 30.7846
71.9886, 28.8364
72.7238, 26.4576
73.1359, 25.1006
73.2093, 24.8571
73.999, 22.2032
74.5351, 20.3664
75.1037, 18.3864
75.7547, 16.0799
76.0985, 14.8448
76.8294, 12.1799
77.3803, 10.1357
77.8709, 8.28962
78.1286, 7.31057
