x, y
7.94946, 36.5876
8.7444, 39.8988
8.94926, 40.7418
9.63014, 43.5137
10.6018, 47.3889
11.1197, 49.4162
11.9091, 52.4542
12.3181, 54.0036
12.4865, 54.6369
13.0422, 56.7062
13.2634, 57.5211
13.5555, 58.5899
14.224, 61.004
14.6626, 62.5636
15.5102, 65.5226
16.4394, 68.6844
16.8976, 70.2117
17.8327, 73.2634
18.0206, 73.866
18.5358, 75.5003
19.1716, 77.4804
19.6434, 78.9237
20.5218, 81.5517
20.7073, 82.0969
21.6419, 84.7908
21.7352, 85.0552
22.5418, 87.3025
22.9192, 88.3316
23.7084, 90.4376
23.7443, 90.532
24.6797, 92.9442
25.3746, 94.6795
25.7011, 95.4781
26.0292, 96.2701
26.0435, 96.3044
26.6079, 97.6405
27.0954, 98.769
27.6502, 100.024
28.0478, 100.905
28.6809, 102.275
29.3575, 103.694
30.0788, 105.157
30.5483, 106.082
31.0078, 106.965
31.0857, 107.113
31.7459, 108.339
32.3113, 109.355
32.381, 109.479
32.6979, 110.032
33.0697, 110.668
33.4232, 111.261
34.2102, 112.534
34.5128, 113.007
34.7666, 113.397
35.5443, 114.552
36.4641, 115.839
36.6334, 116.067
36.7634, 116.24
37.7623, 117.512
38.5799, 118.479
38.9372, 118.881
39.8051, 119.803
39.9339, 119.934
40.3064, 120.302
40.453, 120.443
40.9231, 120.881
41.2451, 121.168
41.7564, 121.602
42.7398, 122.364
43.511, 122.895
43.8853, 123.13
44.7011, 123.596
45.2288, 123.862
46.1144, 124.245
46.1761, 124.269
46.8975, 124.519
47.7104, 124.738
48.2338, 124.844
48.5609, 124.896
49.3367, 124.978
50.0569, 125
50.6469, 124.979
50.7167, 124.974
51.6475, 124.864
51.7651, 124.844
51.7775, 124.842
52.5141, 124.684
53.0119, 124.546
53.0555, 124.533
53.5984, 124.353
54.3553, 124.052
54.4576, 124.006
55.1202, 123.689
55.186, 123.655
56.1629, 123.101
56.2727, 123.033
56.6106, 122.815
57.0387, 122.523
57.6772, 122.053
57.8781, 121.897
58.8571, 121.078
59.467, 120.519
59.9543, 120.046
60.8041, 119.164
61.6214, 118.247
61.8691, 117.956
62.8054, 116.801
63.628, 115.714
64.1953, 114.925
65.1518, 113.521
65.3153, 113.272
66.0806, 112.071
66.5517, 111.302
67.2227, 110.169
67.6173, 109.482
67.6967, 109.341
68.3975, 108.077
69.3056, 106.365
69.314, 106.348
69.7235, 105.549
69.7547, 105.488
69.7687, 105.46
70.332, 104.331
71.0641, 102.815
71.7402, 101.368
72.3723, 99.9739
72.6365, 99.3794
73.0227, 98.4977
73.6659, 96.9963
73.6731, 96.9792
73.7873, 96.7082
74.1105, 95.9342
74.7099, 94.471
75.4727, 92.5571
75.9023, 91.4535
76.1309, 90.8589
76.4539, 90.0095
76.7503, 89.2211
77.1411, 88.1682
77.2249, 87.9403
77.3444, 87.6141
77.3683, 87.5488
77.5778, 86.9733
77.7808, 86.4114
78.124, 85.4521
78.4108, 84.6414
79.1939, 82.3858
79.6188, 81.1362
80.5004, 78.4864
80.9646, 77.0596
81.1407, 76.513
81.2324, 76.2269
81.8874, 74.1598
82.01, 73.7681
82.0547, 73.625
82.4169, 72.4573
82.6924, 71.5604
82.8708, 70.9757
83.1929, 69.9116
83.4603, 69.0204
84.2092, 66.4866
84.636, 65.0175
84.6648, 64.9175
85.6153, 61.5774
86.4743, 58.4813
87.0809, 56.2505
87.5119, 54.6429
88.4656, 51.0199
88.9731, 49.055
89.4263, 47.2782
89.6009, 46.5885
89.9288, 45.2846
89.9474, 45.2101
90.9346, 41.2181
91.014, 40.8924
91.7728, 37.7518
91.866, 37.3621
92.1253, 36.2728
92.9517, 32.7576
93.4807, 30.4714
94.2419, 27.1326
94.8607, 24.3761
95.1165, 23.2253
95.5385, 21.3121
95.7717, 20.2476
96.6761, 16.0672
96.8965, 15.0361
97.8778, 10.3858
97.9572, 10.0052
