x, y
46.4009, 0.960503
21.0471, 43.5054
56.2579, 86.2529
14.0258, 1.09126
97.023, 45.3507
2.01748, 26.6422
54.7152, -20.0973
73.829, -51.717
10.4678, -5.13124
80.5065, 63.2729
68.7912, 60.6486
95.9123, 44.9923
41.9367, 10.4241
36.4696, 41.2513
56.5821, 8.08053
96.8242, 22.9539
66.2369, 42.3911
62.316, -43.5661
4.18743, 3.91359
66.0656, 10.7633
13.8174, -2.41885
34.4237, 32.2167
28.7955, 9.15332
9.35743, 55.4272
67.4478, 26.6739
73.0751, 1.26585
33.536, 16.7654
94.0367, -44.6038
79.675, -14.5732
0.172414, 29.7504
2.56104, -72.2334
51.6947, 61.9072
69.493, 24.8818
1.55701, 2.05112
13.8153, 64.0686
22.2229, -20.3465
18.1319, 52.2021
52.1642, -30.9544
40.273, 12.0156
26.6924, 13.5249
56.4825, -45.0581
87.3042, 5.58183
9.82082, -45.8536
23.2317, -70.9276
37.9334, 11.4288
94.3205, 48.2796
68.9038, -28.6604
73.6095, 37.1549
65.3986, 49.1635
56.8449, 29.9079
62.1928, -37.0029
84.2854, -13.7184
98.186, -6.76242
56.5426, -51.1013
91.3293, 61.6813
28.6514, 18.6701
89.8827, 20.036
43.894, -21.3093
80.8292, -59.1433
64.8701, 34.7999
27.4006, -22.2666
30.4006, -30.7422
87.4564, -9.79485
54.1613, 21.7635
27.6306, -20.8099
40.7402, -40.3547
56.8934, -11.8797
74.9188, -0.0531479
47.4278, -61.0315
66.2256, -33.8642
32.6887, -8.87957
46.6838, 14.827
22.2573, -49.3818
64.3986, -24.9354
53.7666, 68.8455
30.0913, -44.1225
1.45562, -13.199
13.8054, 31.2131
66.2571, -27.1433
60.2758, 26.8293
24.5415, 13.2328
75.244, 41.0602
0.343624, -20.2043
84.6731, -30.8797
25.638, -40.5763
79.7271, -9.39283
45.3933, -6.81103
28.002, 25.5184
48.093, 14.098
79.4227, -8.16866
71.242, -35.9668
60.1964, 52.559
0.602465, 25.7649
14.926, 47.2827
55.1097, 31.8095
65.6296, 28.7253
22.9401, 77.2706
99.191, -29.4991
80.9229, 0.884712
33.7455, -32.3972
82.4943, -26.2348
20.6814, 30.5821
67.6693, -51.1397
24.2922, -41.7719
39.5444, -26.9944
15.9275, 34.5822
23.5009, 15.6839
63.6813, -72.7292
66.8066, -34.6019
73.0274, -4.29266
31.1215, -51.2965
91.9883, 13.7696
17.8974, -53.5171
82.1631, -15.3863
66.6739, -39.3341
78.4503, -13.9109
33.5551, 22.6448
92.8191, -47.2027
10.8129, 75.3903
32.5899, -12.0319
94.6427, 79.8126
72.3645, -38.8719
11.8185, -22.7948
33.5503, -49.3931
93.7867, 6.88282
59.2557, -20.6787
73.6288, -3.33049
25.5056, 74.2885
26.5785, 40.2368
28.2586, -9.57691
32.8564, -1.58837
47.9911, 4.97148
17.1949, 82.9834
33.7828, 28.9503
72.826, 51.6948
76.4002, -59.8244
80.8732, 18.3078
82.054, 27.7143
66.4664, 5.36925
52.0657, 28.8142
12.2018, 28.2636
62.4657, 70.5457
10.9376, -65.809
21.245, 8.92958
36.3383, 23.8099
32.0018, 53.6212
91.3921, 22.8877
50.0772, 29.4695
80.2521, -5.40527
73.9152, 11.6195
23.8997, 15.4842
60.8377, 23.3003
76.5669, 72.9908
13.0829, -27.9349
57.1407, 13.3339
44.1207, 54.8929
31.4653, 37.9785
96.5024, -34.8192
91.8769, 12.1675
74.0143, 20.1917
48.5058, -0.747848
93.6402, 24.4998
92.2312, -25.4919
96.2091, 22.6477
67.9201, -34.257
84.4587, -1.1021
41.1494, -16.9012
71.866, 3.54912
41.716, 12.1517
4.59142, 12.0588
82.9158, -38.5631
9.86359, 73.6851
34.2606, -83.7996
25.9341, 54.8858
94.8756, -9.42634
35.1879, -0.508553
12.9492, 3.9188
22.9492, -13.9841
88.7099, -29.4199
44.9376, -18.6402
73.6323, 79.5232
25.7707, 14.8239
61.8353, -38.5379
33.7989, 0.462476
33.3997, -38.1616
12.9725, -8.42971
76.2393, 31.3115
47.6228, 52.7937
52.2464, -44.686
